count_score,SCORE,FACILITY
1,1,600
1,3,600
12,4,600
9,5,600
61,0,603
1,1,603
2,2,603
1,3,603
12,4,603
7,5,603
61,0,605
3,1,605
1,2,605
6,3,605
7,4,605
6,5,605
61,0,607
2,1,607
2,3,607
8,4,607
11,5,607
72,0,608
2,3,608
6,4,608
4,5,608
84,0,612
63,0,613
1,2,613
1,3,613
13,4,613
6,5,613
61,0,614
1,2,614
2,3,614
13,4,614
7,5,614
61,0,618
1,2,618
3,3,618
11,4,618
8,5,618
64,0,619
3,3,619
9,4,619
8,5,619
66,0,620
1,2,620
1,3,620
9,4,620
7,5,620
61,0,621
1,1,621
1,2,621
4,3,621
7,4,621
10,5,621
63,0,623
3,3,623
12,4,623
6,5,623
61,0,626
1,1,626
6,3,626
11,4,626
5,5,626
72,0,629
1,3,629
8,4,629
3,5,629
61,0,630
1,1,630
1,2,630
1,3,630
12,4,630
8,5,630
72,0,631
1,3,631
9,4,631
2,5,631
62,0,632
2,1,632
2,3,632
13,4,632
5,5,632
61,0,635
3,1,635
2,2,635
12,4,635
6,5,635
61,0,636
2,1,636
2,3,636
10,4,636
9,5,636
61,0,637
1,1,637
3,3,637
12,4,637
7,5,637
61,0,640
1,2,640
3,3,640
14,4,640
5,5,640
61,0,642
2,2,642
4,3,642
11,4,642
6,5,642
61,0,644
5,3,644
11,4,644
7,5,644
61,0,646
2,1,646
2,3,646
10,4,646
9,5,646
61,0,648
4,3,648
10,4,648
9,5,648
65,0,649
5,3,649
8,4,649
6,5,649
63,0,650
1,1,650
1,2,650
3,3,650
12,4,650
4,5,650
61,0,652
1,1,652
1,2,652
3,3,652
12,4,652
6,5,652
65,0,653
1,2,653
3,3,653
10,4,653
5,5,653
62,0,654
1,1,654
2,2,654
11,4,654
8,5,654
67,0,655
1,3,655
7,4,655
9,5,655
72,0,656
1,3,656
5,4,656
6,5,656
61,0,657
4,3,657
11,4,657
8,5,657
61,0,658
5,3,658
14,4,658
4,5,658
64,0,659
1,3,659
13,4,659
6,5,659
61,0,660
1,2,660
1,3,660
13,4,660
8,5,660
61,0,662
1,2,662
2,3,662
14,4,662
6,5,662
61,0,663
1,1,663
1,2,663
6,3,663
11,4,663
4,5,663
61,0,664
1,2,664
3,3,664
10,4,664
9,5,664
67,0,666
3,3,666
6,4,666
8,5,666
61,0,667
2,1,667
6,3,667
11,4,667
4,5,667
65,0,668
2,3,668
10,4,668
7,5,668
61,0,671
1,2,671
4,3,671
11,4,671
7,5,671
61,0,672
2,1,672
4,3,672
13,4,672
4,5,672
61,0,673
1,1,673
1,2,673
3,3,673
14,4,673
4,5,673
61,0,674
1,1,674
1,3,674
14,4,674
7,5,674
72,0,675
2,3,675
7,4,675
3,5,675
66,0,676
1,2,676
2,3,676
8,4,676
7,5,676
61,0,678
1,1,678
2,2,678
3,3,678
8,4,678
9,5,678
72,0,679
1,3,679
8,4,679
3,5,679
72,0,687
3,3,687
6,4,687
3,5,687
61,0,688
1,1,688
1,2,688
3,3,688
11,4,688
7,5,688
61,0,689
1,2,689
3,3,689
10,4,689
9,5,689
61,0,691
1,1,691
3,2,691
1,3,691
12,4,691
6,5,691
72,0,692
4,3,692
6,4,692
2,5,692
63,0,693
4,3,693
11,4,693
6,5,693
61,0,695
1,2,695
3,3,695
15,4,695
4,5,695
1629,0,
8,1,
14,2,
38,3,
200,4,
127,5,
