count_score,SCORE,FACILITY
1,2,640
5,3,640
11,4,640
4,5,640
64,0,642
1,1,642
2,2,642
2,3,642
11,4,642
4,5,642
63,0,644
6,3,644
10,4,644
5,5,644
63,0,646
1,1,646
1,2,646
3,3,646
10,4,646
6,5,646
63,0,648
1,1,648
5,3,648
10,4,648
5,5,648
67,0,649
2,2,649
3,3,649
8,4,649
4,5,649
65,0,650
2,1,650
3,3,650
7,4,650
7,5,650
63,0,652
4,3,652
13,4,652
4,5,652
67,0,653
1,2,653
2,3,653
10,4,653
4,5,653
63,0,654
1,2,654
2,3,654
9,4,654
9,5,654
68,0,655
1,3,655
7,4,655
8,5,655
73,0,656
1,3,656
6,4,656
4,5,656
63,0,657
2,2,657
2,3,657
13,4,657
4,5,657
65,0,658
7,3,658
9,4,658
3,5,658
66,0,659
1,3,659
10,4,659
7,5,659
63,0,660
4,3,660
10,4,660
7,5,660
63,0,662
3,2,662
1,3,662
11,4,662
6,5,662
63,0,663
4,2,663
4,3,663
8,4,663
5,5,663
63,0,664
2,2,664
4,3,664
7,4,664
8,5,664
69,0,666
1,1,666
3,3,666
5,4,666
6,5,666
65,0,667
2,1,667
3,3,667
11,4,667
3,5,667
66,0,668
4,3,668
7,4,668
7,5,668
63,0,671
3,3,671
13,4,671
5,5,671
63,0,672
2,1,672
1,2,672
1,3,672
11,4,672
6,5,672
63,0,673
1,1,673
4,3,673
11,4,673
5,5,673
63,0,674
1,2,674
3,3,674
14,4,674
3,5,674
73,0,675
1,2,675
2,3,675
5,4,675
3,5,675
68,0,676
2,3,676
7,4,676
7,5,676
63,0,678
3,2,678
4,3,678
11,4,678
3,5,678
73,0,679
1,2,679
1,3,679
6,4,679
3,5,679
73,0,687
1,2,687
8,4,687
2,5,687
63,0,688
1,2,688
3,3,688
13,4,688
4,5,688
63,0,689
3,3,689
10,4,689
8,5,689
63,0,691
3,2,691
1,3,691
12,4,691
5,5,691
73,0,692
4,3,692
4,4,692
3,5,692
65,0,693
3,3,693
8,4,693
8,5,693
63,0,695
1,2,695
2,3,695
13,4,695
5,5,695
1667,0,
8,1,
13,2,
36,3,
186,4,
106,5,
